GESTION|MES|Departamento|NANDINA|des_nandina|des_Pais|des_Medio_Sal|des_Via_Sal|CUCIR3|GCE|CIIU3|CODACT|TNT|Peso_Bruto_Kg|Peso_Neto_Kg|Valor_FOB_Sus
2020|1|3|2709000000|ACEITES CRUDOS DE PETROLEO O DE MINERAL BITUMINOSO|SANTA LUCIA|DUCTOS|CHARAÑA - ARICA                                   |3330|310|1110|C2|31|25387582|25387582|9160369
2020|1|7|2709000000|ACEITES CRUDOS DE PETROLEO O DE MINERAL BITUMINOSO|SANTA LUCIA|DUCTOS|CHARAÑA - ARICA                                   |3330|310|1110|C2|31|3761190|3761190|1357116
2020|1|2|0901119000|LOS DEMAS CAFES SIN TOSTAR SIN DESCAFEINAR|ESTADOS UNIDOS|AEREA|AEREA|0711|111|0113|A2|10|63|60|556
2020|1|2|0901119000|LOS DEMAS CAFES SIN TOSTAR SIN DESCAFEINAR|MALASIA|AEREA|AEREA|0711|111|0113|A2|10|86|82|3860
2020|1|2|1801001900|EL DEMAS CACAO EN GRANO ENTERO CRUDO|JAPON|AEREA|AEREA|0721|111|0113|A3|11|168|159|576
2020|1|2|1801002000|CACAO EN GRANO ENTERO O PARTIDO,TOSTADO|JAPON|AEREA|AEREA|0721|111|0113|A3|11|12|10|429
2020|1|2|1803100000|PASTA DE CACAO SIN DESGRASAR|ESTADOS UNIDOS|AEREA|AEREA|0723|121|1543|D1|11|20|20|23
2020|1|2|1806320000|LOS DEMAS CHOCOLATES Y PREPARACIONES ALIMENTICIAS QUE CONTENGAN CACAO SIN RELLENAR EN BLOQUES,EN TABLETAS,O EN BARRAS|ESTADOS UNIDOS|AEREA|AEREA|0733|122|1543|D1|11|74|74|120
2020|1|2|1806320000|LOS DEMAS CHOCOLATES Y PREPARACIONES ALIMENTICIAS QUE CONTENGAN CACAO SIN RELLENAR EN BLOQUES,EN TABLETAS,O EN BARRAS|JAPON|AEREA|AEREA|0733|122|1543|D1|11|190|172|3367
2020|1|2|1806900000|LOS DEMAS CHOCOLATES Y DEMAS PREPARACIONES ALIMENTICIAS QUE CONTENGAN CACAO|ESTADOS UNIDOS|AEREA|AEREA|0739|122|1543|D1|11|27|27|30
2020|1|2|1901200000|MEZCLAS Y PASTAS PARA LA PREPARACION DE PRODUCTOS DE PANADERIA,PASTELERIA O GALLETRIA DE LA PARTIDA No 19.05|ESTADOS UNIDOS|AEREA|AEREA|0485|122|1531|D6|34|30|30|40
2020|1|2|4112000000|CUEROS PREPARADOS DESPUES DEL CURTIDO O SECADO Y CUEROS Y PIELES APERGAMINADOS, DE OVINO, DEPILADOS, INCLUSO DIVIDIDOS, EXCEPTO LOS DE LA PARTIDA 41.14.|ARGENTINA|AEREA|AEREA|6115|220|1911|D10|15|634|612|33889
2020|1|2|4202911000|LOS DEMAS SACOS DE VIAJE Y MOCHILAS,CON LA SUPERFICIE EXTERIOR DE CUERO NATURAL,CUERO REGENERADO O CUERO CHAROLADO|CHINA|AEREA|AEREA|8319|620|1912|D10|15|291|254|4209
2020|1|2|4202911000|LOS DEMAS SACOS DE VIAJE Y MOCHILAS,CON LA SUPERFICIE EXTERIOR DE CUERO NATURAL,CUERO REGENERADO O CUERO CHAROLADO|REINO UNIDO|AEREA|AEREA|8319|620|1912|D10|15|756|633|12337
2020|1|2|4420900000|LAS DEMAS MARQUETERIA Y TARACEA,COFRECILLOS PARA JOYERIA U ORFEBRERIA Y MANUFACTURA SIMILARES DE MADERA;ARTICULOS DE MOBILIARIO DE MADERA,NO COMPRENDIDO EN EL CAPITULO 94|FRANCIA|AEREA|AEREA|6354|620|2029|D13|16|2|1|9
2020|1|2|4819100000|CAJAS DE PAPEL O CARTON CORRUGADO|CHILE|AEREA|AEREA|6421|220|2102|D14|34|5|5|30
2020|1|2|4819100000|CAJAS DE PAPEL O CARTON CORRUGADO|ESTADOS UNIDOS|AEREA|AEREA|6421|220|2102|D14|34|54|54|50
2020|1|2|5109100000|HILADOS DE LANA O PELO FINO,CON UN CONTENIDO DE LANA O DE PELO FINO SUPERIOR O IGUAL AL 85% EN PESO,ACONDICIONADA PARA LA VENTA AL POR MENOR|ALEMANIA|AEREA|AEREA|6511|630|1711|D9|34|264|225|8998
2020|1|2|5109100000|HILADOS DE LANA O PELO FINO,CON UN CONTENIDO DE LANA O DE PELO FINO SUPERIOR O IGUAL AL 85% EN PESO,ACONDICIONADA PARA LA VENTA AL POR MENOR|CANADA|AEREA|AEREA|6511|630|1711|D9|34|1096|949|29832
2020|1|2|5109100000|HILADOS DE LANA O PELO FINO,CON UN CONTENIDO DE LANA O DE PELO FINO SUPERIOR O IGUAL AL 85% EN PESO,ACONDICIONADA PARA LA VENTA AL POR MENOR|SUECIA|AEREA|AEREA|6511|630|1711|D9|34|308|272|11887
